:START_ID,has,:TYPE,:END_ID
c10030,has,HAS,M578
c10030,has,HAS,M462
c10030,has,HAS,M579
c10030,has,HAS,M559
c10030,has,HAS,M39
c10030,has,HAS,M367
c10030,has,HAS,M580
c10030,has,HAS,M352
c10030,has,HAS,M581
c10030,has,HAS,M4
c10030,has,HAS,M114
c10030,has,HAS,M354
c10030,has,HAS,M356
c10030,has,HAS,M81
c10030,has,HAS,M75
c10030,has,HAS,M13
c10030,has,HAS,M331
c10030,has,HAS,M582
c10030,has,HAS,M556
c11415,has,HAS,M378
c11415,has,HAS,M573
c11415,has,HAS,M75
c11415,has,HAS,M261
c11415,has,HAS,M160
c11415,has,HAS,M131
c11415,has,HAS,M114
c11415,has,HAS,M264
c11415,has,HAS,M39
c11415,has,HAS,M532
c11415,has,HAS,M367
c11415,has,HAS,M580
c11415,has,HAS,M579
c11415,has,HAS,M535
c11415,has,HAS,M151
c11415,has,HAS,M581
c11415,has,HAS,M582
c11415,has,HAS,M516
c11415,has,HAS,M538
c11415,has,HAS,M4
c11415,has,HAS,M112
c11415,has,HAS,M541
c11415,has,HAS,M544
c11415,has,HAS,M354
c11415,has,HAS,M13
c11415,has,HAS,M163
c11415,has,HAS,M443
c11415,has,HAS,M276
c11415,has,HAS,M3
c11415,has,HAS,M549
c11415,has,HAS,M518
c11415,has,HAS,M170
c11415,has,HAS,M356
c11415,has,HAS,M552
c11415,has,HAS,M81
c11415,has,HAS,M331
c11415,has,HAS,M84
c11415,has,HAS,M556
c11415,has,HAS,M462
c11415,has,HAS,M143
c11415,has,HAS,M425
c11415,has,HAS,M558
c11415,has,HAS,M352
c11415,has,HAS,M38
c11415,has,HAS,M559
c11415,has,HAS,M560
c11415,has,HAS,M583
c11415,has,HAS,M563
c11415,has,HAS,M0
c11415,has,HAS,M584
c11415,has,HAS,M35
c11415,has,HAS,M585
c11415,has,HAS,M586
c11415,has,HAS,M37
c11415,has,HAS,M33
c11415,has,HAS,M36
c11415,has,HAS,M587
c11415,has,HAS,M139
c11415,has,HAS,M588
c11415,has,HAS,M589
c11415,has,HAS,M590
c11415,has,HAS,M199
c11415,has,HAS,M591
c11415,has,HAS,M592
c11415,has,HAS,M593
c11415,has,HAS,M594
c11415,has,HAS,M156
c11415,has,HAS,M595
c11415,has,HAS,M596
c11415,has,HAS,M597
c11415,has,HAS,M598
c11415,has,HAS,M599
c11415,has,HAS,M600
c11415,has,HAS,M601
c11415,has,HAS,M381
c11415,has,HAS,M415
c11415,has,HAS,M602
c11415,has,HAS,M603
c11415,has,HAS,M604
c11415,has,HAS,M605
c11415,has,HAS,M606
c11415,has,HAS,M607
