,0,1,2
892,10285,经济学,D
893,10285,国际经济与贸易,D
894,10285,工商管理,A
895,10285,工商管理,D
896,10285,财务管理,D
897,10285,会计学,D
898,10285,法学,B
899,10285,法学,D
900,10285,新闻传播学类,D
901,10285,财政学,D
902,10285,教育学(师范),B
903,10285,教育学(师范),D
904,10285,知识产权,D
905,10285,翻译,D
906,10285,中国语言文学类,B
907,10285,中国语言文学类,D
908,10285,公共事业管理,D
909,10285,管理科学,D
910,10285,人力资源管理,B
911,10285,人力资源管理,D
912,10285,思想政治教育,D
913,10285,英语(师范),D
914,10285,城市管理,C
915,10285,图书情报与档案管理类,D
916,10285,历史学(师范),D
917,10285,社会学,C
918,10285,社会工作,D
919,10285,劳动与社会保障,D
920,10285,旅游管理,C
921,10285,哲学,D
922,10285,物流管理,D
923,10285,俄语,C
924,10285,临床医学,D
925,10285,医学影像学,D
926,10285,临床医学(儿科医学),C
927,10285,金融数学,D
928,10285,口腔医学,D
929,10285,计算机类,D
930,10285,数学类,D
931,10285,统计学,D
932,10285,软件工程,D
933,10285,通信工程,D
934,10285,电子信息工程,D
935,10285,信息工程,D
936,10285,纳米材料与技术,D
937,10285,电气工程及其自动化,D
938,10285,医学检验技术,D
939,10285,应用心理学,D
940,10285,电子信息科学与技术,D
941,10285,放射医学,D
942,10285,车辆工程,D
943,10285,建筑学,D
944,10285,电子科学与技术,D
945,10285,光电信息科学与工程,D
