major (origin),major2 (disambiguated),ID
金融学类(中外合作办学)（金融学）（亚澳商学院）,应用经济学,202
金融学类（中外合作办学））,应用经济学,202
金融学类（文）,应用经济学,202
金融学类(弘毅学堂数理经济与数理金融试验班),应用经济学,202
金融学类（含:金融学）,应用经济学,202
金融学类（国家专项）,应用经济学,202
金融学类（金融学）,应用经济学,202
金融学类(金融学、保险学),应用经济学,202
金融学类（金融学、保险学）,应用经济学,202
金融学类(金融学、保险学) ,应用经济学,202
金融学类（经济学）,应用经济学,202
金融学类（高校专项）,应用经济学,202
金融学类（理）,应用经济学,202
金融学类（厦门大学与爱尔兰都柏林商学院合作举办）,应用经济学,202
金融学类(数理经济与数理金融试验班),应用经济学,202
金融类,应用经济学,202
金融数学,应用经济学,202
金融数学(中美校际交流),应用经济学,202
采矿工程,矿业工程,819
采矿工程（双语类）,矿业工程,819
采矿工程（地矿）,矿业工程,819
采矿工程(地矿专业),矿业工程,819
采矿工程（地矿专业）,矿业工程,819
采矿工程（单列）,矿业工程,819
采矿工程(提前批),矿业工程,819
采矿工程（提前批）,矿业工程,819
采矿工程（普通类）,矿业工程,819
服装与服饰设计,纺织科学与工程,821
服装与服饰设计（双语类）,纺织科学与工程,821
服装与服饰设计（单列）,纺织科学与工程,821
服装与服饰设计（普通类）,纺织科学与工程,821
服装设计与工程,纺织科学与工程,821
服装设计与工程（双语类）,纺织科学与工程,821
服装设计与工程（普通类）,纺织科学与工程,821
服装设计与工程（普通类/工）,纺织科学与工程,821
法医学,基础医学,1001
法医学（五年制）,基础医学,1001
法学,法学,301
法学 ,法学,301
法学(专项文）,法学,301
法学（文）,法学,301
法学（文科）,法学,301
法学（双语类）,法学,301
法学（本硕贯通卓越法律人才实验班）,法学,301
法学（汉）,法学,301
法学（民考汉）,法学,301
法学（民商法律）,法学,301
法学（刑事法律）,法学,301
法学（沪港合作涉外卓越法律人才实验班）,法学,301
法学（沪港交流涉外卓越法律人才实验班）,法学,301
法学（卓越实验班）,法学,301
法学（国际经济法）,法学,301
法学（国家专项）,法学,301
法学（国家贫困专项）,法学,301
法学(知识产权),法学,301
法学（单列）,法学,301
法学（单列类）,法学,301
法学（法学与会计学双学位班）,法学;应用经济学,301;202
法学（经济法）,法学,301
法学(经济法）,法学,301
法学(南单文）,法学,301
法学（南疆计划）,法学,301
法学（高校专项）,法学,301
法学（涉外卓越国际金融法律人才实验班）,法学,301
法学（涉外卓越商事法律人才实验班）,法学,301
法学(涉外法律方向),法学,301
法学（理）,法学,301
法学（普通类）,法学,301
法学（蒙授）,法学,301
法学（藏）,法学,301
法学（瀚德实验1班）西班牙语,法学,301
法学（瀚德实验1班西班牙语，仅招有专业志愿考生）,法学,301
法学（瀚德实验1班西班牙语仅，招有专业志愿考生）,法学,301
法学（瀚德实验2班）法语,法学,301
法学（瀚德实验2班法语，仅招有专业志愿考生）,法学,301
法学（瀚德实验班1班）西班牙语,法学,301
